classId,lec_dis,status,total_spots,enrolled_spots,waitlist_status,days,start_time,end_time,location,units,instructors
AMIND0010M,Lec 1,Open,92,0,No Waitlist,MW,8,9:15,Dodd Hall 161,5.0,"Ambo, T.J."
AMIND0010M,Dis 1A,Open,10,0,No Waitlist,F,9,9:50,Haines Hall A78,0.0,TA
AMIND0010M,Dis 1B,Open,10,0,No Waitlist,F,10,10:50,Royce Hall 166,0.0,TA
AMIND0010M,Dis 1C,Open,10,0,No Waitlist,F,11,11:50,Royce Hall 166,0.0,TA
AMIND0010M,Dis 1D,Open,10,0,No Waitlist,F,12,12:50,Renee and David Kaplan Hall A60,0.0,TA
AMIND0010M,Dis 1E,Open,10,0,No Waitlist,F,1,1:50,Haines Hall A78,0.0,TA
AMIND0010M,Dis 1F,Open,10,0,No Waitlist,F,2,2:50,Haines Hall 110,0.0,TA
AMIND0010M,Dis 1G,Open,10,0,No Waitlist,F,3,3:50,Bunche Hall 2173,0.0,TA
AMIND0010M,Dis 1H,Open,10,0,No Waitlist,F,4,4:50,Bunche Hall 1265,0.0,TA
AMIND0010M,Dis 1I,Closed by Dept American Indian Studies,0,0,No Waitlist,F,4,4:50,No Location,0.0,TA
AMIND0018M,Sem 1,Open,10,0,No Waitlist,R,4,5:50,Student Activities Center B2,2.0,"Black, C.V."
AMIND0121C,Lec 1,Open,12,0,No Waitlist,M,2,4:50,Royce Hall 156,4.0,"Eagle, V.R."
AMIND0162M,Lec 1,Open,18,0,No Waitlist,MW,11,12:15,Fowler Museum at UCLA A139,4.0,"Kroskrity, P.V."
AMIND0175C,Lec 1,Open,15,0,No Waitlist,M,1,3:50,Bunche Hall 3117,4.0,"Huaute, I.R."
AMIND0187001,Lec 1,Closed by Dept American Indian Studies,0,0,No Waitlist,M,1,3:50,No Location,4.0,No instructors
AMIND0200BM,Sem 1,Open,5,0,No Waitlist,W,5,7:50,Public Affairs Building 2325,4.0,"Mo'e'hahne, H."
