classId,lec_dis,status,total_spots,enrolled_spots,waitlist_status,days,start_time,end_time,location,units,instructors
MATH0003B,Lec 1,Open,70,0,No Waitlist,MWF,10,10:50,Mathematical Sciences 5200,4.0,"Greene, M.P."
MATH0003B,Dis 1A,Open,35,0,No Waitlist,T,10,10:50,Mathematical Sciences 5138,0.0,TA
MATH0003B,Dis 1B,Open,35,0,No Waitlist,R,10,10:50,Mathematical Sciences 5138,0.0,TA
MATH0031A,Lec 1,Open,210,0,No Waitlist,MWF,8,8:50,Mathematical Sciences 4000A,4.0,"Dallas, H.J."
MATH0031A,Dis 1A,Open,35,0,No Waitlist,T,10,11:50,Haines Hall 122,0.0,TA
MATH0031A,Dis 1B,Open,35,0,No Waitlist,T,10,11:50,Mathematical Sciences 6627,0.0,TA
MATH0031A,Dis 1C,Open,35,0,No Waitlist,T,12,1:50,No Location,0.0,TA
MATH0031A,Dis 1D,Open,35,0,No Waitlist,T,12,1:50,No Location,0.0,TA
MATH0031A,Dis 1E,Open,35,0,No Waitlist,T,2,3:50,Mathematical Sciences 6221,0.0,TA
MATH0031A,Dis 1F,Open,35,0,No Waitlist,T,2,3:50,Haines Hall 122,0.0,TA
MATH0031A,Lec 2,Open,210,0,No Waitlist,MWF,12,12:50,Mathematical Sciences 4000A,4.0,"Keranen, J.P."
MATH0031A,Dis 2A,Open,35,0,No Waitlist,T,12,12:50,Mathematical Sciences 5117,0.0,TA
MATH0031A,Dis 2B,Open,35,0,No Waitlist,R,12,12:50,Mathematical Sciences 5117,0.0,TA
MATH0031A,Dis 2C,Open,35,0,No Waitlist,T,12,12:50,Mathematical Sciences 5137,0.0,TA
MATH0031A,Dis 2D,Open,35,0,No Waitlist,R,12,12:50,Mathematical Sciences 5137,0.0,TA
MATH0031A,Dis 2E,Open,35,0,No Waitlist,T,12,12:50,Mathematical Sciences 5138,0.0,TA
MATH0031A,Dis 2F,Open,35,0,No Waitlist,R,12,12:50,Mathematical Sciences 5138,0.0,TA
MATH0031A,Lec 3,Open,210,0,No Waitlist,MWF,1,1:50,Mathematical Sciences 4000A,4.0,"Higgins, V."
MATH0031A,Dis 3A,Open,35,0,No Waitlist,T,1,1:50,Mathematical Sciences 5138,0.0,TA
MATH0031A,Dis 3B,Open,35,0,No Waitlist,R,1,1:50,Mathematical Sciences 5138,0.0,TA
MATH0031A,Dis 3C,Open,35,0,No Waitlist,T,1,1:50,Mathematical Sciences 5127,0.0,TA
MATH0031A,Dis 3D,Open,35,0,No Waitlist,R,1,1:50,Mathematical Sciences 5127,0.0,TA
MATH0031A,Dis 3E,Open,35,0,No Waitlist,T,1,1:50,Young Hall 2200,0.0,TA
MATH0031A,Dis 3F,Open,35,0,No Waitlist,R,1,1:50,Young Hall 2200,0.0,TA
MATH0031AL,Lec 1,Open,176,0,No Waitlist,MWFT,5,5:50,"Rolfe Hall 1200, Moore Hall 100",5.0,"Conley, W.J."
MATH0031AL,Dis 1A,Open,32,0,No Waitlist,T,1,1:50,Dodd Hall 178,0.0,TA
MATH0031AL,Dis 1B,Open,32,0,No Waitlist,R,1,1:50,Dodd Hall 178,0.0,TA
MATH0031AL,Dis 1C,Open,28,0,No Waitlist,T,1,1:50,Bunche Hall 2168,0.0,TA
MATH0031AL,Dis 1D,Open,28,0,No Waitlist,R,1,1:50,Bunche Hall 2168,0.0,TA
MATH0031AL,Dis 1E,Open,28,0,No Waitlist,T,1,1:50,Public Affairs Building 2325,0.0,TA
MATH0031AL,Dis 1F,Open,28,0,No Waitlist,R,1,1:50,Public Affairs Building 2325,0.0,TA
MATH0031B,Lec 1,Open,210,0,No Waitlist,MWF,9,9:50,Mathematical Sciences 4000A,4.0,"Johnson, C.L."
MATH0031B,Dis 1A,Open,35,0,No Waitlist,T,9,9:50,Mathematical Sciences 5137,0.0,TA
MATH0031B,Dis 1B,Open,35,0,No Waitlist,R,9,9:50,Mathematical Sciences 5137,0.0,TA
MATH0031B,Dis 1C,Open,35,0,No Waitlist,T,9,9:50,Mathematical Sciences 5138,0.0,TA
MATH0031B,Dis 1D,Open,35,0,No Waitlist,R,9,9:50,Mathematical Sciences 5138,0.0,TA
MATH0031B,Dis 1E,Open,35,0,No Waitlist,T,9,9:50,Kaufman Hall 101,0.0,TA
MATH0031B,Dis 1F,Open,35,0,No Waitlist,R,9,9:50,Kaufman Hall 101,0.0,TA
MATH0031B,Lec 2,Open,210,0,No Waitlist,MWF,10,10:50,Young Hall CS76,4.0,"Arant, T.J."
MATH0031B,Dis 2A,Open,35,0,No Waitlist,T,10,10:50,Mathematical Sciences 5137,0.0,TA
MATH0031B,Dis 2B,Open,35,0,No Waitlist,R,10,10:50,Mathematical Sciences 5137,0.0,TA
MATH0031B,Dis 2C,Open,35,0,No Waitlist,T,10,10:50,Public Affairs Building 2238,0.0,TA
MATH0031B,Dis 2D,Open,35,0,No Waitlist,R,10,10:50,Public Affairs Building 2238,0.0,TA
MATH0031B,Dis 2E,Open,35,0,No Waitlist,T,10,10:50,Boelter Hall 5419,0.0,TA
MATH0031B,Dis 2F,Open,35,0,No Waitlist,R,10,10:50,Boelter Hall 5419,0.0,TA
MATH0031B,Lec 3,Open,210,0,No Waitlist,MWF,1,1:50,Young Hall CS76,4.0,"Lopez Rivera, P."
MATH0031B,Dis 3A,Open,35,0,No Waitlist,T,1,1:50,Young Hall 4216,0.0,TA
MATH0031B,Dis 3B,Open,35,0,No Waitlist,R,1,1:50,Rolfe Hall 3134,0.0,TA
MATH0031B,Dis 3C,Open,35,0,No Waitlist,T,1,1:50,Bunche Hall 3150,0.0,TA
MATH0031B,Dis 3D,Open,35,0,No Waitlist,R,1,1:50,Broad Art Center 2100A,0.0,TA
MATH0031B,Dis 3E,Open,35,0,No Waitlist,T,1,1:50,Public Affairs Building 1329,0.0,TA
MATH0031B,Dis 3F,Open,35,0,No Waitlist,R,1,1:50,Public Affairs Building 1256,0.0,TA
MATH0031B,Lec 4,Open,210,0,No Waitlist,MWF,3,3:50,Young Hall CS76,4.0,"Zhang, Z."
MATH0031B,Dis 4A,Open,35,0,No Waitlist,T,3,3:50,No Location,0.0,TA
MATH0031B,Dis 4B,Open,35,0,No Waitlist,R,3,3:50,Bunche Hall 3157,0.0,TA
MATH0031B,Dis 4C,Open,35,0,No Waitlist,T,3,3:50,Public Affairs Building 2232,0.0,TA
MATH0031B,Dis 4D,Open,35,0,No Waitlist,R,3,3:50,Public Affairs Building 2232,0.0,TA
MATH0031B,Dis 4E,Open,35,0,No Waitlist,T,3,3:50,Mathematical Sciences 5137,0.0,TA
MATH0031B,Dis 4F,Open,35,0,No Waitlist,R,3,3:50,Mathematical Sciences 5137,0.0,TA
MATH0031B,Lec 5,Open,210,0,No Waitlist,MWF,4,4:50,Broad Art Center 2160E,4.0,"Flynn, P."
MATH0031B,Dis 5A,Open,35,0,No Waitlist,T,4,4:50,Boelter Hall 5264,0.0,TA
MATH0031B,Dis 5B,Open,35,0,No Waitlist,R,4,4:50,Boelter Hall 5264,0.0,TA
MATH0031B,Dis 5C,Open,35,0,No Waitlist,T,4,4:50,Boelter Hall 5273,0.0,TA
MATH0031B,Dis 5D,Open,35,0,No Waitlist,R,4,4:50,Boelter Hall 5273,0.0,TA
MATH0031B,Dis 5E,Open,35,0,No Waitlist,T,4,4:50,Boelter Hall 5440,0.0,TA
MATH0031B,Dis 5F,Open,35,0,No Waitlist,R,4,4:50,Boelter Hall 5440,0.0,TA
MATH0032A,Lec 1,Open,210,0,No Waitlist,MWF,10,10:50,Mathematical Sciences 4000A,4.0,"Vashaw, K."
