classId,lec_dis,status,total_spots,enrolled_spots,waitlist_status,days,start_time,end_time,location,units,instructors
MATH0003B,Lec 1,Open,70,69,No Waitlist,MWF, 10am, 10:50am,Mathematical Sciences 5200,4.0,"Greene, M.P."
MATH0003B,Dis 1A,Closed,35,36,No Waitlist,T, 10am, 10:50am,Bunche Hall 3153,0.0,"Liu, J."
MATH0003B,Dis 1B,Open,35,33,No Waitlist,R, 10am, 10:50am,Bunche Hall 3153,0.0,"Liu, J."
MATH0031A,Lec 1,Open,210,188,No Waitlist,MWF, 8am, 8:50am,Mathematical Sciences 4000A,4.0,"Conley, W.J."
MATH0031A,Dis 1A,Open,35,32,No Waitlist,T, 8am, 8:50am,Mathematical Sciences 5147,0.0,"Swenberg, J.H."
MATH0031A,Dis 1B,Open,35,31,No Waitlist,R, 8am, 8:50am,Mathematical Sciences 5147,0.0,"Swenberg, J.H."
MATH0031A,Dis 1C,Closed,35,35,No Waitlist,T, 8am, 8:50am,Mathematical Sciences 5138,0.0,"Solheid, J."
MATH0031A,Dis 1D,Open,35,31,No Waitlist,R, 8am, 8:50am,Mathematical Sciences 5138,0.0,"Solheid, J."
MATH0031A,Dis 1E,Open,35,34,No Waitlist,T, 8am, 8:50am,Mathematical Sciences 5137,0.0,"Li, X."
MATH0031A,Dis 1F,Open,35,25,No Waitlist,R, 8am, 8:50am,Mathematical Sciences 5137,0.0,"Li, X."
MATH0031A,Lec 2,Open,210,198,No Waitlist,MWF, 12pm, 12:50pm,Renee and David Kaplan Hall A51,4.0,"Higgins, V."
MATH0031A,Dis 2A,Open,35,34,No Waitlist,T, 12pm, 12:50pm,Geology Building 4645,0.0,"Quijano, V."
MATH0031A,Dis 2B,Open,35,33,No Waitlist,R, 12pm, 12:50pm,Geology Building 4645,0.0,"Quijano, V."
MATH0031A,Dis 2C,Open,35,32,No Waitlist,T, 12pm, 12:50pm,Mathematical Sciences 5138,0.0,"Lu, A."
MATH0031A,Dis 2D,Closed,35,35,No Waitlist,R, 12pm, 12:50pm,Mathematical Sciences 5138,0.0,"Lu, A."
MATH0031A,Dis 2E,Open,35,33,No Waitlist,T, 12pm, 12:50pm,Boelter Hall 5420,0.0,"Zhou, J."
MATH0031A,Dis 2F,Open,35,31,No Waitlist,R, 12pm, 12:50pm,Boelter Hall 5420,0.0,"Zhou, J."
MATH0031AL,Lec 1,Open,210,99,No Waitlist,"MWF, T", 1pm 5pm, 1:50pm 5:50pm,"Mathematical Sciences 4000A, Renee and David Kaplan Hall A51",5.0,"Keranen, J.P."
MATH0031AL,Dis 1A,Open,35,34,No Waitlist,T, 1pm, 1:50pm,Mathematical Sciences 5203,0.0,"Slonim, Z.G."
MATH0031AL,Dis 1B,Open,35,25,No Waitlist,R, 1pm, 1:50pm,Mathematical Sciences 5203,0.0,"Slonim, Z.G."
MATH0031AL,Dis 1C,Open,35,19,No Waitlist,T, 1pm, 1:50pm,Mathematical Sciences 6221,0.0,"Milgrim, W."
MATH0031AL,Dis 1D,Open,35,3,No Waitlist,R, 1pm, 1:50pm,Mathematical Sciences 6221,0.0,"Milgrim, W."
MATH0031AL,Dis 1E,Open,35,16,No Waitlist,T, 1pm, 1:50pm,Renee and David Kaplan Hall A48,0.0,"Schuchardt, J.A."
MATH0031AL,Dis 1F,Open,35,2,No Waitlist,R, 1pm, 1:50pm,Renee and David Kaplan Hall A48,0.0,"Schuchardt, J.A."
MATH0031B,Lec 1,Open,210,190,No Waitlist,MWF, 9am, 9:50am,Bunche Hall 2209A,4.0,"Arant, T.J."
MATH0031B,Dis 1A,Open,35,31,No Waitlist,T, 9am, 9:50am,Royce Hall 162,0.0,Berkowitz Kriegman
MATH0031B,Dis 1B,Open,35,30,No Waitlist,R, 9am, 9:50am,Royce Hall 162,0.0,Berkowitz Kriegman
MATH0031B,Dis 1C,Open,35,33,No Waitlist,T, 9am, 9:50am,Geology Building 6704,0.0,"Malkov, S."
MATH0031B,Dis 1D,Open,35,34,No Waitlist,R, 9am, 9:50am,Geology Building 6704,0.0,"Malkov, S."
MATH0031B,Dis 1E,Open,35,30,No Waitlist,T, 9am, 9:50am,Mathematical Sciences 5137,0.0,"Wang, J."
MATH0031B,Dis 1F,Open,35,32,No Waitlist,R, 9am, 9:50am,Mathematical Sciences 5137,0.0,"Wang, J."
MATH0031B,Lec 2,Open,210,209,No Waitlist,MWF, 10am, 10:50am,Mathematical Sciences 4000A,4.0,"Beers, D."
MATH0031B,Dis 2A,Closed,35,35,No Waitlist,T, 10am, 10:50am,Geology Building 6704,0.0,"Johnson, R.C."
MATH0031B,Dis 2B,Open,35,33,No Waitlist,R, 10am, 10:50am,Geology Building 6704,0.0,"Johnson, R.C."
MATH0031B,Dis 2C,Closed,35,37,No Waitlist,T, 10am, 10:50am,Geology Building 4645,0.0,"Lebovitz, A."
MATH0031B,Dis 2D,Open,35,34,No Waitlist,R, 10am, 10:50am,Geology Building 4645,0.0,"Lebovitz, A."
MATH0031B,Dis 2E,Closed,35,37,No Waitlist,T, 10am, 10:50am,La Kretz Hall 120,0.0,"Russo, L."
MATH0031B,Dis 2F,Open,35,33,No Waitlist,R, 10am, 10:50am,La Kretz Hall 120,0.0,"Russo, L."
MATH0031B,Lec 3,Closed,210,214,No Waitlist,MWF, 11am, 11:50am,Mathematical Sciences 4000A,4.0,"Xiong, H."
MATH0031B,Dis 3A,Closed,35,35,No Waitlist,T, 11am, 11:50am,Boelter Hall 9436,0.0,"Slater, B."
MATH0031B,Dis 3B,Closed,35,37,No Waitlist,R, 11am, 11:50am,Boelter Hall 9436,0.0,"Slater, B."
MATH0031B,Dis 3C,Open,35,34,No Waitlist,T, 11am, 11:50am,Mathematical Sciences 5138,0.0,Sellakumaran Latha
MATH0031B,Dis 3D,Closed,35,36,No Waitlist,R, 11am, 11:50am,Mathematical Sciences 5138,0.0,Sellakumaran Latha
MATH0031B,Dis 3E,Closed,35,35,No Waitlist,T, 11am, 11:50am,Mathematical Sciences 5137,0.0,"Kong, M.H."
MATH0031B,Dis 3F,Closed,35,37,No Waitlist,R, 11am, 11:50am,Mathematical Sciences 5137,0.0,"Kong, M.H."
MATH0031B,Lec 4,Open,210,167,No Waitlist,MWF, 12pm, 12:50pm,Mathematical Sciences 4000A,4.0,"Johnson, C.L."
MATH0031B,Dis 4A,Open,35,33,No Waitlist,T, 12pm, 12:50pm,Boelter Hall 5280,0.0,"Mikat, C.R."
MATH0031B,Dis 4B,Open,35,27,No Waitlist,R, 12pm, 12:50pm,Boelter Hall 5280,0.0,"Mikat, C.R."
MATH0031B,Dis 4C,Open,35,30,No Waitlist,T, 12pm, 12:50pm,Rolfe Hall 3134,0.0,"Zender, M."
MATH0031B,Dis 4D,Open,35,29,No Waitlist,R, 12pm, 12:50pm,Rolfe Hall 3134,0.0,"Zender, M."
MATH0031B,Dis 4E,Open,35,28,No Waitlist,T, 12pm, 12:50pm,Bunche Hall 3156,0.0,"Rui, D.K."
MATH0031B,Dis 4F,Open,35,20,No Waitlist,R, 12pm, 12:50pm,Bunche Hall 3156,0.0,"Rui, D.K."
MATH0031B,Lec 5,Open,210,207,No Waitlist,MWF, 1pm, 1:50pm,Bunche Hall 1209B,4.0,"Badreddine, R."
MATH0031B,Dis 5A,Closed,35,36,No Waitlist,T, 1pm, 1:50pm,Geology Building 6704,0.0,"Liu, H.Y."
MATH0031B,Dis 5B,Closed,35,35,No Waitlist,R, 1pm, 1:50pm,Geology Building 6704,0.0,"Liu, H.Y."
MATH0031B,Dis 5C,Open,35,34,No Waitlist,T, 1pm, 1:50pm,Bunche Hall 3164,0.0,"Rui, D.K."
MATH0031B,Dis 5D,Open,35,32,No Waitlist,R, 1pm, 1:50pm,Bunche Hall 3164,0.0,"Rui, D.K."
MATH0031B,Dis 5E,Open,35,34,No Waitlist,T, 1pm, 1:50pm,Boelter Hall 5420,0.0,"Wu, C."
MATH0031B,Dis 5F,Closed,35,36,No Waitlist,R, 1pm, 1:50pm,Boelter Hall 5420,0.0,"Wu, C."
MATH0032A,Lec 1,Closed,210,216,No Waitlist,MWF, 10am, 10:50am,Bunche Hall 1209B,4.0,"Yanez Etcheberry,"
MATH0032A,Dis 1A,Open,35,34,No Waitlist,T, 10am, 10:50am,Royce Hall 156,0.0,"Faktor, B."
MATH0032A,Dis 1B,Closed,35,36,No Waitlist,R, 10am, 10:50am,Royce Hall 156,0.0,"Faktor, B."
MATH0032A,Dis 1C,Closed,35,37,No Waitlist,T, 10am, 10:50am,Boelter Hall 5272,0.0,"Loe, T."
MATH0032A,Dis 1D,Open,35,34,No Waitlist,R, 10am, 10:50am,Boelter Hall 5272,0.0,"Loe, T."
MATH0032A,Dis 1E,Closed,35,37,No Waitlist,T, 10am, 10:50am,Rolfe Hall 3129,0.0,"Baeumer, A."
MATH0032A,Dis 1F,Closed,35,38,No Waitlist,R, 10am, 10:50am,Rolfe Hall 3129,0.0,"Baeumer, A."
MATH0032A,Lec 2,Closed,210,210,No Waitlist,MWF, 11am, 11:50am,Bunche Hall 2209A,4.0,"Kan, K."
MATH0032A,Dis 2A,Closed,35,35,No Waitlist,T, 11am, 11:50am,Mathematical Sciences 5118,0.0,"Goldman, B."
MATH0032A,Dis 2B,Closed,35,35,No Waitlist,R, 11am, 11:50am,Mathematical Sciences 5118,0.0,"Goldman, B."
MATH0032A,Dis 2C,Closed,35,35,No Waitlist,T, 11am, 11:50am,Mathematical Sciences 5147,0.0,"Tu, Z.T."
MATH0032A,Dis 2D,Closed,35,35,No Waitlist,R, 11am, 11:50am,Mathematical Sciences 5147,0.0,"Tu, Z.T."
MATH0032A,Dis 2E,Closed,35,35,No Waitlist,T, 11am, 11:50am,Mathematical Sciences 5117,0.0,"Baeumer, A."
MATH0032A,Dis 2F,Closed,35,35,No Waitlist,R, 11am, 11:50am,Mathematical Sciences 5117,0.0,"Baeumer, A."
MATH0032A,Lec 3,Closed,210,212,No Waitlist,MWF, 12pm, 12:50pm,Franz Hall 1178,4.0,"Vashaw, K."
MATH0032A,Dis 3A,Closed,35,36,No Waitlist,T, 12pm, 12:50pm,Bunche Hall 3150,0.0,"Baugher, Z.M."
MATH0032A,Dis 3B,Open,35,33,No Waitlist,R, 12pm, 12:50pm,Bunche Hall 3150,0.0,"Baugher, Z.M."
MATH0032A,Dis 3C,Closed,35,36,No Waitlist,T, 12pm, 12:50pm,Rolfe Hall 3121,0.0,"Han, Z."
MATH0032A,Dis 3D,Closed,35,35,No Waitlist,R, 12pm, 12:50pm,Rolfe Hall 3121,0.0,"Han, Z."
MATH0032A,Dis 3E,Open,35,34,No Waitlist,T, 12pm, 12:50pm,Mathematical Sciences 5118,0.0,"Liu, Z."
MATH0032A,Dis 3F,Closed,35,38,No Waitlist,R, 12pm, 12:50pm,Physics and Astronomy Building 1749,0.0,"Liu, Z."
MATH0032B,Lec 1,Open,210,209,No Waitlist,MWF, 9am, 9:50am,Bunche Hall 1209B,4.0,"Diepeveen, W."
MATH0032B,Dis 1A,Closed,35,35,No Waitlist,T, 9am, 9:50am,Mathematical Sciences 5127,0.0,"Papenburg, H."
MATH0032B,Dis 1B,Closed,35,35,No Waitlist,R, 9am, 9:50am,Mathematical Sciences 5127,0.0,"Papenburg, H."
MATH0032B,Dis 1C,Open,35,34,No Waitlist,T, 9am, 9:50am,Mathematical Sciences 5118,0.0,"Raghavan, R."
MATH0032B,Dis 1D,Closed,35,35,No Waitlist,R, 9am, 9:50am,Mathematical Sciences 5118,0.0,"Raghavan, R."
MATH0032B,Dis 1E,Closed,35,35,No Waitlist,T, 9am, 9:50am,Mathematical Sciences 5117,0.0,"Mulherkar, S.J."
MATH0032B,Dis 1F,Closed,35,35,No Waitlist,R, 9am, 9:50am,Mathematical Sciences 5117,0.0,"Mulherkar, S.J."
MATH0032B,Lec 2,Closed,210,217,No Waitlist,MWF, 12pm, 12:50pm,Bunche Hall 2209A,4.0,"George, T."
MATH0032B,Dis 2A,Closed,35,35,No Waitlist,T, 12pm, 12:50pm,Mathematical Sciences 6627,0.0,"Raghavan, R."
MATH0032B,Dis 2B,Closed,35,36,No Waitlist,R, 12pm, 12:50pm,Mathematical Sciences 6627,0.0,"Raghavan, R."
MATH0032B,Dis 2C,Closed,35,37,No Waitlist,T, 12pm, 12:50pm,Bunche Hall 3143,0.0,"Tambe, I."
MATH0032B,Dis 2D,Closed,35,36,No Waitlist,R, 12pm, 12:50pm,Bunche Hall 3143,0.0,"Tambe, I."
MATH0032B,Dis 2E,Closed,35,36,No Waitlist,T, 12pm, 12:50pm,Physics and Astronomy Building 2748,0.0,"Shors, I."
MATH0032B,Dis 2F,Closed,35,37,No Waitlist,R, 12pm, 12:50pm,Physics and Astronomy Building 2748,0.0,"Shors, I."
