classId,lec_dis,status,total_spots,enrolled_spots,waitlist_status,days,start_time,end_time,location,units,instructors
APPCHM0107C,Lec 1,Open,10,0,No Waitlist,"W
F",12,1:50,"Molecular Sciences Building 5241, Molecular Sciences Building 5241",4.0,"Diaconescu, P.L."
APPCHM0201B,Sem 1,Open,14,0,No Waitlist,MR,9,11:50,Young Hall,4.0,No instructors
APPCHM0201B,Lab 1A,Open,30,0,No Waitlist,W,10,12,Young Hall 2033,0.0,"Nava, M.J.; Liu, C."
APPCHM0201B,Sem 2,Open,14,0,No Waitlist,TF,9,11:50,Young Hall 6086,4.0,"Liu, C.; TA"
APPCHM0201B,Lab 2A,Open,15,0,No Waitlist,Not scheduled,,,No Location,0.0,"Nava, M.J.; Liu, C."
APPCHM0203,Lab 1,Open,30,0,No Waitlist,WR,9,12:50,Young Hall 6086,5.0,"Diaconescu, P.L.; TA; Nava, M.J."
APPCHM0203,Dis 1A,Open,30,0,No Waitlist,F,2,3:50,Molecular Sciences Building 5241,0.0,"Diaconescu, P.L.; Nava, M.J."
APPCHM0207C,Lec 1,Open,40,0,No Waitlist,"W
F",12,1:50,"Molecular Sciences Building 5241, Molecular Sciences Building 5241",4.0,"Diaconescu, P.L."
APPCHM0208B,Tut 1,Open,40,0,No Waitlist,Not scheduled,,,No Location,8.0,"Diaconescu, P.L."
APPCHM0208B,Tut 2,Open,15,0,No Waitlist,Not scheduled,,,No Location,8.0,"Loo, J.A."
APPCHM0208B,Tut 3,Open,15,0,No Waitlist,Not scheduled,,,No Location,8.0,"Liu, C."
APPCHM0208B,Tut 4,Open,15,0,No Waitlist,Not scheduled,,,No Location,8.0,"Nava, M.J."
APPCHM0209,Sem 1,Open,60,0,No Waitlist,F,4,6,No Location,2.0,"Diaconescu, P.L."
APPCHM0495,Sem 1,Closed by Dept Chemistry and Biochemistry,0,0,No Waitlist,M,3,5,Molecular Sciences Building 5241,2.0,"Diaconescu, P.L."
APPCHM0596,Tut 1,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Diaconescu, P.L."
APPCHM0596,Tut 2,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Loo, J.A."
APPCHM0596,Tut 3,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Liu, C."
APPCHM0596,Tut 4,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Nava, M.J."
APPCHM0596,Tut 5,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Spokoyny, A.M."
APPCHM0596,Tut 6,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Harran, P.G."
APPCHM0596,Tut 7,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Srivastava, S."
APPCHM0596,Tut 8,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Travis, G.H."
APPCHM0596,Tut 9,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Tolbert, S.H."
APPCHM0596,Tut 10,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Kaner, R.B."
APPCHM0596,Tut 11,Open,2,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Andrews, A.M."
APPCHM0596,Tut 12,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Feigon, J.F."
