classId,lec_dis,status,total_spots,enrolled_spots,waitlist_status,days,start_time,end_time,location,units,instructors
ARABIC0001B,Lec 1,Open,25,0,0 of 5 Taken,MWF,10,11:50,Haines Hall A44,5.0,"Al Rifae, K.A."
ARABIC0001B,Lec 2,Open,25,0,0 of 5 Taken,MWF,12,1:50,Rolfe Hall 3134,5.0,"Al Rifae, K.A."
ARABIC0001B,Lec 3,Closed by Dept Near Eastern Languages and Cultures,0,0,No Waitlist,MWF,2,3:50,Public Affairs Building 1284,5.0,"TA; Al Rifae, K.A."
ARABIC0102B,Lec 1,Open,25,0,0 of 5 Taken,TR,9:30,10:45,Mathematical Sciences 5225,4.0,"Hamza, A.T."
ARABIC0103B,Lec 1,Open,15,0,0 of 5 Taken,TR,12:30,1:45,Bunche Hall 2121,4.0,"Hamza, A.T."
ARABIC0111A,Lec 1,Open,25,0,0 of 5 Taken,TR,2,3:15,Kaufman Hall 153,4.0,"Hamza, A.T."
ARABIC0180,Lec 1,Open,25,0,No Waitlist,TR,11,12:15,Moore Hall 1003,4.0,"Cooperson, M.D."
ARABIC0596,Tut 1,Closed by Dept Near Eastern Languages and Cultures,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Cooperson, M.D."
ARABIC0596,Tut 2,Closed by Dept Near Eastern Languages and Cultures,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Gana, N."
ARABIC0596,Tut 3,Closed by Dept Near Eastern Languages and Cultures,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Sayeed, A."
ARABIC0596,Tut 4,Closed by Dept Near Eastern Languages and Cultures,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Slyomovics, S."
ARABIC0597,Tut 1,Closed by Dept Near Eastern Languages and Cultures,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Cooperson, M.D."
ARABIC0597,Tut 2,Closed by Dept Near Eastern Languages and Cultures,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Gana, N."
ARABIC0597,Tut 3,Closed by Dept Near Eastern Languages and Cultures,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Sayeed, A."
ARABIC0597,Tut 4,Closed by Dept Near Eastern Languages and Cultures,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Slyomovics, S."
ARABIC0599,Tut 1,Closed by Dept Near Eastern Languages and Cultures,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Cooperson, M.D."
ARABIC0599,Tut 2,Closed by Dept Near Eastern Languages and Cultures,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Gana, N."
ARABIC0599,Tut 3,Closed by Dept Near Eastern Languages and Cultures,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Sayeed, A."
ARABIC0599,Tut 4,Closed by Dept Near Eastern Languages and Cultures,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Slyomovics, S."
