classId,lec_dis,status,total_spots,enrolled_spots,waitlist_status,days,start_time,end_time,location,units,instructors
MATH0003B,Lec 1,Waitlist,0,0,1 of 6 Taken,MWF, 10am, 10:50am,Mathematical Sciences 5200,4.0,"Greene, M.P."
MATH0003B,Dis 1A,Waitlist,0,0,1 of 3 Taken,T, 10am, 10:50am,Mathematical Sciences 5138,0.0,TA
MATH0003B,Dis 1B,Waitlist,0,0,0 of 3 Taken,R, 10am, 10:50am,Mathematical Sciences 5138,0.0,TA
MATH0019001,Sem 1,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,1.0,"Vese, L.A."
MATH0031A,Lec 1,Open,70,36,0 of 6 Taken,MWF, 8am, 8:50am,Mathematical Sciences 5200,4.0,The Staff
MATH0031A,Dis 1A,Open,35,28,0 of 3 Taken,T, 8am, 8:50am,Boelter Hall 5264,0.0,TA
MATH0031A,Dis 1B,Open,35,8,0 of 3 Taken,R, 8am, 8:50am,Boelter Hall 5264,0.0,TA
MATH0031A,Dis 1C,Cancelled,0,0,No Waitlist,T, 8am, 8:50am,No Location,0.0,No instructors
MATH0031A,Dis 1D,Cancelled,0,0,No Waitlist,R, 8am, 8:50am,No Location,0.0,No instructors
MATH0031A,Dis 1E,Cancelled,0,0,No Waitlist,T, 8am, 8:50am,No Location,0.0,No instructors
MATH0031A,Dis 1F,Cancelled,0,0,No Waitlist,R, 8am, 8:50am,No Location,0.0,No instructors
MATH0031A,Lec 2,Open,180,92,0 of 18 Taken,MWF, 12pm, 12:50pm,Mathematical Sciences 4000A,4.0,"Keranen, J.P."
MATH0031A,Dis 2A,Waitlist,0,0,0 of 3 Taken,T, 12pm, 12:50pm,Mathematical Sciences 5117,0.0,TA
MATH0031A,Dis 2B,Open,35,18,0 of 3 Taken,R, 12pm, 12:50pm,Mathematical Sciences 5117,0.0,TA
MATH0031A,Dis 2C,Open,35,19,0 of 3 Taken,T, 12pm, 12:50pm,Mathematical Sciences 5137,0.0,TA
MATH0031A,Dis 2D,Open,20,2,0 of 3 Taken,R, 12pm, 12:50pm,Mathematical Sciences 5137,0.0,TA
MATH0031A,Dis 2E,Open,20,9,0 of 3 Taken,T, 12pm, 12:50pm,Haines Hall 122,0.0,TA
MATH0031A,Dis 2F,Open,20,9,0 of 3 Taken,R, 12pm, 12:50pm,Haines Hall 122,0.0,TA
MATH0031A,Lec 3,Open,210,113,0 of 18 Taken,MWF, 1pm, 1:50pm,Rolfe Hall 1200,4.0,"Higgins, V."
MATH0031A,Dis 3A,Waitlist,0,0,0 of 3 Taken,T, 1pm, 1:50pm,Mathematical Sciences 5138,0.0,TA
MATH0031A,Dis 3B,Open,35,21,0 of 3 Taken,R, 1pm, 1:50pm,Mathematical Sciences 5138,0.0,TA
MATH0031A,Dis 3C,Open,35,32,0 of 3 Taken,T, 1pm, 1:50pm,Mathematical Sciences 5127,0.0,TA
MATH0031A,Dis 3D,Open,35,12,0 of 3 Taken,R, 1pm, 1:50pm,Mathematical Sciences 5127,0.0,TA
MATH0031A,Dis 3E,Open,35,7,0 of 3 Taken,T, 1pm, 1:50pm,Young Hall 2200,0.0,TA
MATH0031A,Dis 3F,Open,35,6,0 of 3 Taken,R, 1pm, 1:50pm,Young Hall 2200,0.0,TA
MATH0031AL,Lec 1,Open,188,82,0 of 18 Taken,MWF, 1pm, 1:50pm,Mathematical Sciences 4000A,5.0,"Dallas, H.J."
MATH0031AL,Dis 1A,Open,35,13,0 of 3 Taken,T, 10am, 11:50am,Bunche Hall 3150,0.0,TA
MATH0031AL,Dis 1B,Open,35,9,0 of 3 Taken,T, 10am, 11:50am,Mathematical Sciences 6627,0.0,TA
MATH0031AL,Dis 1C,Open,28,16,0 of 3 Taken,T, 12pm, 1:50pm,Bunche Hall 2168,0.0,TA
MATH0031AL,Dis 1D,Open,30,9,0 of 3 Taken,T, 12pm, 1:50pm,Franz Hall 2288,0.0,TA
MATH0031AL,Dis 1E,Open,25,20,0 of 3 Taken,T, 2pm, 3:50pm,Mathematical Sciences 6221,0.0,TA
MATH0031AL,Dis 1F,Open,35,15,0 of 3 Taken,T, 2pm, 3:50pm,Mathematical Sciences 5118,0.0,TA
MATH0031B,Lec 1,Open,210,168,0 of 18 Taken,MWF, 9am, 9:50am,Mathematical Sciences 4000A,4.0,"Johnson, C.L."
MATH0031B,Dis 1A,Waitlist,0,0,0 of 3 Taken,T, 9am, 9:50am,Mathematical Sciences 5137,0.0,TA
MATH0031B,Dis 1B,Waitlist,0,0,0 of 3 Taken,R, 9am, 9:50am,Mathematical Sciences 5137,0.0,TA
MATH0031B,Dis 1C,Waitlist,0,0,0 of 3 Taken,T, 9am, 9:50am,Mathematical Sciences 5138,0.0,TA
MATH0031B,Dis 1D,Open,35,31,0 of 3 Taken,R, 9am, 9:50am,Mathematical Sciences 5138,0.0,TA
MATH0031B,Dis 1E,Open,35,20,0 of 3 Taken,T, 9am, 9:50am,Bunche Hall 3150,0.0,TA
MATH0031B,Dis 1F,Open,35,12,0 of 3 Taken,R, 9am, 9:50am,Bunche Hall 3150,0.0,TA
MATH0031B,Lec 2,Closed,210,210,Waitlist Full (18),MWF, 10am, 10:50am,Young Hall CS76,4.0,"Arant, T.J."
MATH0031B,Dis 2A,Closed,35,35,Waitlist Full (3),T, 10am, 10:50am,Mathematical Sciences 5137,0.0,TA
